FileName	X	Y	Z	W	P	Q	R
FileName	X	Y	Z	W	P	Q	R
img_east/image_east_0075.png	-168.860300	-0.835840	500.255500	0.199670	-0.044944	-0.978636	0.019611
img_east/image_east_0076.png	-168.129400	-0.862383	500.196600	0.197325	-0.046025	-0.979060	0.019666
img_east/image_east_0077.png	-167.360100	-0.880476	500.184700	0.205023	-0.042186	-0.977504	0.025907
img_east/image_east_0078.png	-166.576600	-0.890808	500.100100	0.187648	-0.029504	-0.981521	0.023139
img_east/image_east_0079.png	-165.823900	-0.922258	500.018800	0.179206	-0.046684	-0.982550	0.017365
img_east/image_east_0080.png	-165.145500	-0.958553	500.168000	0.154075	-0.061218	-0.985976	0.019105
img_east/image_east_0082.png	-163.779100	-0.942347	500.299600	0.136706	-0.038820	-0.989340	0.031812
img_east/image_east_0081.png	-164.406900	-0.919415	500.154100	0.167052	-0.053147	-0.983386	0.047121
img_east/image_east_0083.png	-162.980000	-0.957338	500.304500	0.178603	-0.039549	-0.981972	0.047634
img_east/image_east_0084.png	-162.396000	-1.021120	500.304100	0.196988	0.001614	-0.978951	0.053375
img_east/image_east_0085.png	-161.632000	-1.010540	500.207600	0.193925	0.001048	-0.979700	0.050787
img_east/image_east_0086.png	-160.798000	-0.978966	500.324400	0.196449	-0.004738	-0.979428	0.045898
img_east/image_east_0087.png	-160.160700	-0.954207	500.158200	0.179195	-0.022593	-0.982965	0.034052
img_east/image_east_0088.png	-159.472900	-0.868233	500.186700	0.168539	-0.046422	-0.983630	0.043719
img_east/image_east_0089.png	-158.831700	-0.685925	500.084200	0.174730	-0.065547	-0.981760	0.036343
img_east/image_east_0090.png	-157.959100	-0.945883	500.226900	0.161613	-0.055887	-0.984535	0.038075
img_east/image_east_0091.png	-157.301900	-1.268236	500.287100	0.152958	-0.042259	-0.987253	0.012212
img_east/image_east_0092.png	-156.541300	-0.935387	500.234700	0.175290	-0.026589	-0.983457	0.037145
img_east/image_east_0093.png	-155.801500	-0.842253	500.261600	0.162114	-0.037446	-0.985776	0.023718
img_east/image_east_0094.png	-155.029300	-0.909426	500.229600	0.178108	-0.024316	-0.983462	0.022123
img_east/image_east_0095.png	-154.324800	-0.841000	500.140900	0.144863	-0.014395	-0.988879	0.030440
img_east/image_east_0096.png	-153.531800	-1.002434	500.178200	0.161777	-0.008212	-0.986340	0.029915
img_east/image_east_0097.png	-152.941600	-1.066723	500.132300	0.162910	0.006400	-0.986256	0.026826
img_east/image_east_0098.png	-152.201900	-1.035389	500.099200	0.167886	0.001843	-0.985650	0.017453
img_east/image_east_0099.png	-151.514500	-0.954096	500.014700	0.152276	0.013635	-0.988244	-0.000392
img_east/image_east_0100.png	-150.828300	-1.007963	499.900800	0.156442	-0.023533	-0.987403	-0.002817
img_east/image_east_0101.png	-150.186200	-1.003857	499.923200	0.147030	-0.013112	-0.988539	0.031640
img_east/image_east_0102.png	-149.560100	-1.155937	499.642300	0.163931	-0.017976	-0.986115	0.019521
img_east/image_east_0103.png	-148.645800	-0.828142	499.628700	0.157777	-0.026406	-0.986660	0.030197
img_east/image_east_0104.png	-148.218400	-0.777473	499.474700	0.160304	-0.036991	-0.985944	0.029128
img_east/image_east_0105.png	-147.289900	-1.023531	499.618900	0.166946	-0.030725	-0.984918	0.033498
img_east/image_east_0106.png	-146.702300	-1.051245	499.554600	0.160130	-0.055678	-0.985516	0.004211
img_east/image_east_0107.png	-146.105900	-1.096675	499.394400	0.146482	-0.022942	-0.988724	0.021041
img_east/image_east_0108.png	-145.237900	-1.048466	499.464500	0.136284	-0.017796	-0.989994	0.031963
img_east/image_east_0109.png	-144.607700	-1.083806	499.266900	0.158994	-0.010338	-0.986560	0.036237
img_east/image_east_0110.png	-143.842800	-1.068594	499.298200	0.139712	0.000441	-0.990016	0.018681
img_east/image_east_0111.png	-143.258900	-1.081470	499.239800	0.155630	-0.021950	-0.987536	0.008408
img_east/image_east_0112.png	-142.545400	-1.202499	499.246300	0.139190	-0.024666	-0.989955	-0.002709
img_east/image_east_0113.png	-141.754400	-1.071885	499.151600	0.145357	-0.034233	-0.988635	-0.017308
img_east/image_east_0114.png	-140.999000	-1.072925	499.182000	0.150318	-0.045054	-0.987573	-0.008647
img_east/image_east_0115.png	-140.305500	-1.164792	499.069100	0.155810	-0.069540	-0.985067	-0.023025
img_east/image_east_0116.png	-139.535200	-1.183039	499.135600	0.149811	-0.051536	-0.987366	-0.003130
img_east/image_east_0117.png	-138.731700	-1.129404	499.090900	0.182696	-0.059390	-0.981359	-0.005405
img_east/image_east_0118.png	-137.871600	-1.083014	499.166800	0.181525	-0.047370	-0.982202	-0.009155
img_east/image_east_0120.png	-136.296800	-1.190656	499.107400	0.137066	-0.041664	-0.989652	0.008133
img_east/image_east_0119.png	-137.049400	-1.087025	499.024700	0.162160	-0.050251	-0.985058	-0.028981
img_east/image_east_0121.png	-135.828600	-1.323180	499.043600	0.158531	-0.059216	-0.985468	-0.014675
img_east/image_east_0122.png	-134.908500	-1.096060	498.858500	0.141739	-0.052732	-0.988493	0.003241
img_east/image_east_0123.png	-134.200100	-1.156042	498.772200	0.149870	-0.049159	-0.987451	-0.007992
img_east/image_east_0124.png	-133.451100	-1.174703	498.603000	0.153865	-0.040648	-0.987255	-0.000960
img_east/image_east_0125.png	-132.671900	-1.181998	498.427900	0.138833	-0.044777	-0.989113	-0.019391
img_east/image_east_0126.png	-132.081300	-1.262192	498.175200	0.145636	-0.053572	-0.987820	-0.011470
img_east/image_east_0131.png	-128.155400	-1.049433	497.731500	0.209859	-0.065128	-0.975560	-0.000192
img_east/image_east_0130.png	-128.969800	-1.248095	497.586200	0.188122	-0.053981	-0.980649	-0.004921
img_east/image_east_0132.png	-127.574200	-1.132931	497.637300	0.177357	-0.064709	-0.981992	-0.006966
img_east/image_east_0128.png	-130.439500	-1.240773	497.810000	0.168386	-0.048113	-0.984342	-0.020038
img_east/image_east_0129.png	-129.691900	-1.079998	497.662300	0.171601	-0.040309	-0.984135	-0.020180
img_east/image_east_0127.png	-131.260800	-1.243290	498.009700	0.158551	-0.026295	-0.986369	-0.035318
img_east/image_east_0133.png	-126.962700	-1.132259	497.650700	0.108474	-0.060893	-0.992221	0.004744
img_east/image_east_0135.png	-126.172800	-1.185879	497.205600	0.094629	0.043813	0.993703	-0.040995
img_east/image_east_0136.png	-125.335000	-1.451082	496.971800	0.031142	-0.034649	-0.998817	0.013927
img_east/image_east_0137.png	-124.539100	-1.291396	496.771800	0.109451	-0.023537	-0.993654	0.010910
img_east/image_east_0138.png	-123.845200	-1.336862	496.866100	0.099574	-0.001795	-0.994915	0.015006
img_north/image_north_2_0157.png	-125.667300	-1.009406	497.646500	0.657599	-0.074666	-0.749349	-0.021555
img_north/image_north_2_0153.png	-128.588700	-1.022960	497.717800	0.669202	-0.057301	-0.740734	0.014074
img_north/image_north_2_0155.png	-126.868200	-1.016237	497.626700	0.665006	-0.067450	-0.743708	-0.010770
img_north/image_north_2_0154.png	-127.827500	-0.992387	497.802900	0.665819	-0.048623	-0.744206	0.021871
img_north/image_north_2_0151.png	-130.038500	-1.054688	497.845500	0.666295	-0.046086	-0.744207	-0.009145
img_north/image_north_2_0159.png	-124.029900	-1.023346	497.460000	0.650565	-0.052293	-0.757626	-0.005826
